"행정구역","2022년05월_계_총인구수","2022년05월_계_연령구간인구수","2022년05월_계_0세"
"대구광역시 달성군 다사읍서재출장소(2771025700)","39,817","500","500"
"대구광역시 달성군 유가읍(2771025900)","29,409","284","284"
"대구광역시 달성군 옥포읍(2771026200)","24,903","195","195"
"대구광역시 달성군 현풍읍(2771026500)","23,173","155","155"
"대구광역시 달성군 가창면(2771031000)","7,752","19","19"
"대구광역시 달성군 하빈면(2771033000)","3,526","10","10"
"대구광역시 달성군 구지면(2771038000)","19,592","267","267"
"인천광역시  (2800000000)","2,955,167","14,534","14,534"
"인천광역시 중구 (2811000000)","147,093","808","808"
"인천광역시 중구 연안동(2811052000)","5,993","9","9"
"인천광역시 중구 신포동(2811053000)","4,951","18","18"
"인천광역시 중구 신흥동(2811054000)","13,422","56","56"
"인천광역시 중구 도원동(2811056000)","3,940","3","3"
"인천광역시 중구 율목동(2811057000)","3,152","1","1"
"인천광역시 중구 동인천동(2811058500)","5,792","11","11"
"인천광역시 중구 개항동(2811061500)","7,034","17","17"
"인천광역시 중구 영종동(2811062000)","19,368","105","105"
"인천광역시 중구 영종1동(2811062200)","44,559","432","432"
"인천광역시 중구 운서동(2811062800)","35,038","148","148"
"인천광역시 중구 용유동(2811063000)","3,844","8","8"
"인천광역시 중구영종출장소 (2811400000)","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0"
"인천광역시 동구 (2814000000)","59,322","194","194"
"인천광역시 동구 만석동(2814051000)","6,835","24","24"
"인천광역시 동구 화수1.화평동(2814052500)","5,945","15","15"
"인천광역시 동구 화수2동(2814053000)","7,541","10","10"
"인천광역시 동구 송현1.2동(2814055500)","10,308","46","46"
"인천광역시 동구 송현3동(2814057000)","3,489","6","6"
"인천광역시 동구 송림1동(2814058000)","1,540","5","5"
"인천광역시 동구 송림2동(2814059000)","2,650","2","2"
"인천광역시 동구 송림3.5동(2814060500)","6,308","21","21"
"인천광역시 동구 송림4동(2814061000)","6,082","42","42"
"인천광역시 동구 송림6동(2814063000)","6,060","17","17"
"인천광역시 동구 금창동(2814064000)","2,564","6","6"
"인천광역시 미추홀구 (2817700000)","407,253","1,785","1,785"
"인천광역시 미추홀구 숭의2동(2817751000)","14,785","85","85"
"인천광역시 미추홀구 숭의1.3동(2817752000)","15,249","111","111"
"인천광역시 미추홀구 숭의4동(2817753000)","15,935","68","68"
"인천광역시 미추홀구 용현1.4동(2817754000)","17,571","39","39"
"인천광역시 미추홀구 용현2동(2817755000)","17,790","109","109"
"인천광역시 미추홀구 용현3동(2817756000)","7,622","33","33"
"인천광역시 미추홀구 용현5동(2817757000)","47,231","209","209"
"인천광역시 미추홀구 학익1동(2817758000)","31,867","107","107"
"인천광역시 미추홀구 학익2동(2817759000)","18,207","44","44"
"인천광역시 미추홀구 도화1동(2817760000)","23,238","129","129"
"인천광역시 미추홀구 도화2.3동(2817761000)","33,101","223","223"
"인천광역시 미추홀구 주안1동(2817762000)","20,929","140","140"
"인천광역시 미추홀구 주안2동(2817763000)","16,661","55","55"
"인천광역시 미추홀구 주안3동(2817764000)","8,667","30","30"
"인천광역시 미추홀구 주안4동(2817765000)","13,053","36","36"
"인천광역시 미추홀구 주안5동(2817766000)","20,766","115","115"
"인천광역시 미추홀구 주안6동(2817767000)","21,839","94","94"
"인천광역시 미추홀구 주안7동(2817768000)","12,397","22","22"
"인천광역시 미추홀구 주안8동(2817769000)","20,866","60","60"
"인천광역시 미추홀구 관교동(2817770000)","14,892","30","30"
"인천광역시 미추홀구 문학동(2817771000)","14,587","46","46"
"인천광역시 연수구 (2818500000)","387,789","2,356","2,356"
"인천광역시 연수구 옥련1동(2818563000)","19,187","79","79"
"인천광역시 연수구 옥련2동(2818564000)","20,125","82","82"
"인천광역시 연수구 선학동(2818575000)","17,044","38","38"
"인천광역시 연수구 연수1동(2818576100)","19,069","44","44"
"인천광역시 연수구 연수2동(2818576200)","20,873","86","86"
"인천광역시 연수구 연수3동(2818576300)","15,958","88","88"
"인천광역시 연수구 청학동(2818576600)","24,711","83","83"
"인천광역시 연수구 동춘1동(2818578000)","25,304","176","176"
"인천광역시 연수구 동춘2동(2818579000)","18,121","102","102"
"인천광역시 연수구 동춘3동(2818579500)","18,339","49","49"
"인천광역시 연수구 송도1동(2818582000)","38,165","142","142"
"인천광역시 연수구 송도2동(2818583000)","36,539","166","166"
"인천광역시 연수구 송도3동(2818584000)","48,756","450","450"
"인천광역시 연수구 송도4동(2818585000)","25,540","226","226"
"인천광역시 연수구 송도5동(2818586000)","40,058","545","545"
"인천광역시 남동구 (2820000000)","513,965","2,187","2,187"
"인천광역시 남동구 구월1동(2820051000)","31,240","134","134"
"인천광역시 남동구 구월2동(2820052000)","35,254","165","165"
"인천광역시 남동구 구월3동(2820052100)","30,314","142","142"
"인천광역시 남동구 구월4동(2820052200)","14,691","38","38"
"인천광역시 남동구 간석1동(2820053000)","19,488","75","75"
"인천광역시 남동구 간석2동(2820054000)","21,854","81","81"
"인천광역시 남동구 간석3동(2820055000)","27,398","97","97"
"인천광역시 남동구 간석4동(2820055100)","29,134","114","114"
"인천광역시 남동구 만수1동(2820056000)","16,964","59","59"
"인천광역시 남동구 만수2동(2820057000)","24,021","87","87"
"인천광역시 남동구 만수3동(2820058000)","17,651","72","72"
"인천광역시 남동구 만수4동(2820058100)","20,708","92","92"
"인천광역시 남동구 만수5동(2820058200)","15,364","37","37"
"인천광역시 남동구 만수6동(2820058300)","24,047","76","76"
"인천광역시 남동구 장수서창동(2820065000)","19,802","81","81"
"인천광역시 남동구 서창2동(2820065500)","39,292","251","251"
"인천광역시 남동구 남촌도림동(2820066000)","21,008","66","66"
"인천광역시 남동구 논현1동(2820069000)","31,877","191","191"
"인천광역시 남동구 논현2동(2820070000)","32,833","147","147"
"인천광역시 남동구 논현고잔동(2820071000)","41,025","182","182"
"인천광역시 부평구 (2823700000)","486,216","2,162","2,162"
"인천광역시 부평구 부평1동(2823751000)","36,309","177","177"
"인천광역시 부평구 부평2동(2823752000)","14,885","69","69"
"인천광역시 부평구 부평3동(2823753000)","12,638","42","42"
"인천광역시 부평구 부평4동(2823754000)","36,937","187","187"
"인천광역시 부평구 부평5동(2823755000)","31,364","213","213"
"인천광역시 부평구 부평6동(2823756000)","14,853","81","81"
"인천광역시 부평구 산곡1동(2823757000)","12,141","62","62"
"인천광역시 부평구 산곡2동(2823758000)","30,738","109","109"
"인천광역시 부평구 산곡3동(2823758100)","21,909","52","52"
"인천광역시 부평구 산곡4동(2823758200)","17,513","70","70"
"인천광역시 부평구 청천1동(2823759100)","6,893","17","17"
"인천광역시 부평구 청천2동(2823759200)","35,221","206","206"
"인천광역시 부평구 갈산1동(2823764100)","16,440","55","55"
"인천광역시 부평구 갈산2동(2823764200)","18,492","85","85"
"인천광역시 부평구 삼산1동(2823764600)","32,869","110","110"
"인천광역시 부평구 삼산2동(2823764800)","28,486","95","95"
"인천광역시 부평구 부개1동(2823765000)","16,341","50","50"
"인천광역시 부평구 부개2동(2823766000)","19,970","129","129"
"인천광역시 부평구 부개3동(2823766100)","30,290","129","129"
"인천광역시 부평구 일신동(2823767000)","12,404","49","49"
"인천광역시 부평구 십정1동(2823768000)","16,912","93","93"
"인천광역시 부평구 십정2동(2823769000)","22,611","82","82"
"인천광역시 계양구 (2824500000)","293,506","1,187","1,187"
"인천광역시 계양구 효성1동(2824560100)","27,543","122","122"
"인천광역시 계양구 효성2동(2824560200)","28,818","102","102"
"인천광역시 계양구 계산1동(2824561100)","19,135","49","49"
"인천광역시 계양구 계산2동(2824561200)","15,733","48","48"
"인천광역시 계양구 계산3동(2824561300)","18,883","75","75"
"인천광역시 계양구 계산4동(2824561400)","23,026","61","61"
"인천광역시 계양구 작전1동(2824562100)","27,458","94","94"
"인천광역시 계양구 작전2동(2824562200)","19,545","78","78"
"인천광역시 계양구 작전서운동(2824564000)","34,650","212","212"
"인천광역시 계양구 계양1동(2824571000)","20,565","78","78"
"인천광역시 계양구 계양2동(2824572000)","32,850","134","134"
"인천광역시 계양구 계양3동(2824573000)","25,300","134","134"
"인천광역시 서구 (2826000000)","569,494","3,516","3,516"
"인천광역시 서구 검암경서동(2826051500)","45,747","296","296"
"인천광역시 서구 연희동(2826053000)","40,135","155","155"
"인천광역시 서구 청라1동(2826053600)","31,126","262","262"
"인천광역시 서구 청라2동(2826053700)","48,312","320","320"
"인천광역시 서구 청라3동(2826053900)","33,059","308","308"
"인천광역시 서구 가정1동(2826054200)","34,463","269","269"
"인천광역시 서구 가정2동(2826054300)","6,367","36","36"
"인천광역시 서구 가정3동(2826054400)","9,501","36","36"
"인천광역시 서구 석남1동(2826055000)","22,137","83","83"
"인천광역시 서구 석남2동(2826056000)","12,857","40","40"
"인천광역시 서구 석남3동(2826056100)","13,670","41","41"
"인천광역시 서구 신현원창동(2826057500)","31,088","139","139"
"인천광역시 서구 가좌1동(2826058000)","12,843","59","59"
"인천광역시 서구 가좌2동(2826059000)","19,690","92","92"
"인천광역시 서구 가좌3동(2826060000)","16,539","44","44"
"인천광역시 서구 가좌4동(2826061000)","10,348","57","57"
"인천광역시 서구 검단동(2826068000)","33,625","194","194"
"인천광역시 서구 불로대곡동(2826069000)","23,356","116","116"
"인천광역시 서구 원당동(2826070000)","23,836","137","137"
"인천광역시 서구 당하동(2826071000)","27,535","162","162"
"인천광역시 서구 오류왕길동(2826072000)","25,328","140","140"
"인천광역시 서구 마전동(2826073000)","22,551","117","117"
"인천광역시 서구 아라동(2826074000)","25,381","413","413"
"인천광역시 서구검단출장소 (2826500000)","0","0","0"
"인천광역시 강화군 (2871000000)","69,940","271","271"
"인천광역시 강화군 강화읍(2871025000)","22,761","121","121"
"인천광역시 강화군 선원면(2871031000)","7,968","29","29"
"인천광역시 강화군 불은면(2871032000)","5,008","12","12"
"인천광역시 강화군 길상면(2871033000)","7,272","35","35"
"인천광역시 강화군 화도면(2871034000)","4,592","18","18"
"인천광역시 강화군 양도면(2871035000)","4,293","13","13"
"인천광역시 강화군 내가면(2871036000)","3,088","12","12"
"인천광역시 강화군 하점면(2871037000)","4,084","10","10"
"인천광역시 강화군 양사면(2871038000)","1,907","4","4"
"인천광역시 강화군 송해면(2871039000)","3,265","7","7"
"인천광역시 강화군 교동면(2871040000)","2,842","4","4"
"인천광역시 강화군 삼산면(2871041000)","2,210","5","5"
"인천광역시 강화군 서도면(2871042000)","380","0","0"
"인천광역시 강화군 서도면볼음출장소(2871042500)","270","1","1"
"인천광역시 옹진군 (2872000000)","20,589","68","68"
"인천광역시 옹진군 북도면(2872031000)","1,153","0","0"
"인천광역시 옹진군 북도면장봉출장소(2872031500)","995","3","3"
"인천광역시 옹진군 백령면(2872033000)","5,002","18","18"
"인천광역시 옹진군 대청면(2872034000)","1,219","5","5"
"인천광역시 옹진군 대청면소청출장소(2872034500)","221","2","2"
"인천광역시 옹진군 덕적면(2872035000)","1,908","3","3"
"인천광역시 옹진군 영흥면(2872036000)","6,670","24","24"
"인천광역시 옹진군 자월면(2872037000)","970","3","3"
"인천광역시 옹진군 자월면이작출장소(2872037500)","376","0","0"
"인천광역시 옹진군 연평면(2872038000)","2,075","10","10"
"광주광역시  (2900000000)","1,436,012","7,595","7,595"
"광주광역시 동구 (2911000000)","102,936","631","631"
"광주광역시 동구 충장동(2911052500)","4,874","11","11"
"광주광역시 동구 동명동(2911054500)","3,840","8","8"
"광주광역시 동구 계림1동(2911056000)","10,875","117","117"
"광주광역시 동구 계림2동(2911057000)","9,742","83","83"
"광주광역시 동구 산수1동(2911059000)","8,489","53","53"
"광주광역시 동구 산수2동(2911060000)","10,492","38","38"
"광주광역시 동구 지산1동(2911062000)","4,223","9","9"
"광주광역시 동구 지산2동(2911063000)","4,462","10","10"
"광주광역시 동구 서남동(2911065500)","3,012","0","0"
"광주광역시 동구 학동(2911068500)","7,697","55","55"
"광주광역시 동구 학운동(2911071000)","11,379","23","23"
"광주광역시 동구 지원1동(2911073000)","7,773","31","31"
"광주광역시 동구 지원2동(2911074000)","16,078","193","193"
"광주광역시 서구 (2914000000)","288,703","1,215","1,215"
"광주광역시 서구 양동(2914057500)","3,608","4","4"
"광주광역시 서구 양3동(2914059000)","4,537","23","23"
"광주광역시 서구 농성1동(2914065000)","11,308","75","75"
"광주광역시 서구 농성2동(2914066000)","4,803","9","9"
"광주광역시 서구 광천동(2914073000)","7,885","28","28"
"광주광역시 서구 유덕동(2914074000)","10,906","64","64"
"광주광역시 서구 치평동(2914074500)","30,023","158","158"
"광주광역시 서구 상무1동(2914075100)","24,659","115","115"
"광주광역시 서구 상무2동(2914075200)","23,641","81","81"
"광주광역시 서구 화정1동(2914076000)","15,404","58","58"
"광주광역시 서구 화정2동(2914077000)","20,389","118","118"
"광주광역시 서구 화정3동(2914078000)","9,941","30","30"
"광주광역시 서구 화정4동(2914079000)","15,247","55","55"
"광주광역시 서구 서창동(2914080000)","5,723","33","33"
"광주광역시 서구 금호1동(2914082100)","20,195","51","51"
"광주광역시 서구 금호2동(2914082400)","28,018","117","117"
"광주광역시 서구 풍암동(2914083000)","36,376","142","142"
"광주광역시 서구 동천동(2914084000)","16,040","54","54"
"광주광역시 남구 (2915500000)","215,251","994","994"
"광주광역시 남구 양림동(2915551000)","6,929","24","24"
"광주광역시 남구 방림1동(2915552000)","6,549","23","23"
"광주광역시 남구 방림2동(2915553000)","8,752","29","29"
"광주광역시 남구 봉선1동(2915553700)","13,311","41","41"
"광주광역시 남구 봉선2동(2915553800)","28,661","97","97"
"광주광역시 남구 사직동(2915554500)","5,111","19","19"
"광주광역시 남구 월산동(2915560500)","8,975","59","59"
"광주광역시 남구 월산4동(2915563000)","8,496","22","22"
"광주광역시 남구 월산5동(2915564000)","6,350","10","10"
"광주광역시 남구 백운1동(2915567000)","12,122","26","26"
"광주광역시 남구 백운2동(2915568000)","6,336","48","48"
"광주광역시 남구 주월1동(2915569000)","21,954","107","107"
"광주광역시 남구 주월2동(2915570000)","7,960","17","17"
"광주광역시 남구 진월동(2915570500)","28,948","94","94"
"광주광역시 남구 효덕동(2915571000)","16,010","80","80"
"광주광역시 남구 송암동(2915572000)","21,434","255","255"
"광주광역시 남구 대촌동(2915573000)","7,353","43","43"
"광주광역시 북구 (2917000000)","426,329","2,381","2,381"
"광주광역시 북구 중흥1동(2917051000)","4,727","38","38"
"광주광역시 북구 중흥2동(2917052000)","8,461","37","37"
"광주광역시 북구 중흥3동(2917053000)","6,324","46","46"
"광주광역시 북구 중앙동(2917055500)","3,982","33","33"
"광주광역시 북구 임동(2917057000)","9,166","89","89"
"광주광역시 북구 신안동(2917058000)","12,393","96","96"
"광주광역시 북구 용봉동(2917059000)","38,187","171","171"
"광주광역시 북구 운암1동(2917060100)","19,213","92","92"
"광주광역시 북구 운암2동(2917060200)","11,849","25","25"
"광주광역시 북구 운암3동(2917060300)","12,487","49","49"
"광주광역시 북구 동림동(2917061500)","23,058","181","181"
"광주광역시 북구 우산동(2917062000)","10,180","15","15"
"광주광역시 북구 풍향동(2917063500)","5,662","36","36"
"광주광역시 북구 문화동(2917065000)","20,694","167","167"
"광주광역시 북구 문흥1동(2917065600)","15,709","59","59"
"광주광역시 북구 문흥2동(2917065700)","15,535","62","62"
"광주광역시 북구 두암1동(2917066100)","7,692","18","18"
"광주광역시 북구 두암2동(2917066200)","15,893","53","53"
"광주광역시 북구 두암3동(2917066300)","13,171","21","21"
"광주광역시 북구 삼각동(2917066600)","13,871","67","67"
"광주광역시 북구 일곡동(2917066900)","29,495","102","102"
"광주광역시 북구 매곡동(2917067300)","13,756","66","66"
"광주광역시 북구 오치1동(2917067600)","10,767","45","45"
"광주광역시 북구 오치2동(2917067700)","12,351","40","40"
"광주광역시 북구 석곡동(2917068500)","2,499","10","10"
"광주광역시 북구 건국동(2917069500)","22,060","190","190"
"광주광역시 북구 양산동(2917069600)","37,551","297","297"
"광주광역시 북구 신용동(2917069700)","29,596","276","276"
"광주광역시 광산구 (2920000000)","402,793","2,374","2,374"
"광주광역시 광산구 송정1동(2920051500)","10,838","47","47"
"광주광역시 광산구 송정2동(2920052500)","6,500","42","42"
"광주광역시 광산구 도산동(2920054000)","15,137","97","97"
"광주광역시 광산구 신흥동(2920055000)","4,515","27","27"
"광주광역시 광산구 어룡동(2920056500)","32,778","235","235"
"광주광역시 광산구 우산동(2920058000)","29,692","266","266"
"광주광역시 광산구 월곡1동(2920060000)","10,675","47","47"
"광주광역시 광산구 월곡2동(2920061000)","15,378","50","50"
"광주광역시 광산구 비아동(2920062000)","7,600","35","35"
"광주광역시 광산구 첨단1동(2920062400)","27,369","207","207"
"광주광역시 광산구 첨단2동(2920062600)","43,126","263","263"
"광주광역시 광산구 신가동(2920063000)","18,693","101","101"
"광주광역시 광산구 운남동(2920063500)","30,548","187","187"
"광주광역시 광산구 수완동(2920063700)","76,755","368","368"
"광주광역시 광산구 하남동(2920064000)","26,316","198","198"
"광주광역시 광산구 임곡동(2920065000)","2,107","1","1"
"광주광역시 광산구 동곡동(2920066000)","1,841","2","2"
"광주광역시 광산구 평동(2920067000)","4,124","11","11"
"광주광역시 광산구 삼도동(2920068000)","2,191","0","0"
"광주광역시 광산구 본량동(2920069000)","1,980","3","3"
"광주광역시 광산구 신창동(2920070000)","34,630","187","187"
"대전광역시  (3000000000)","1,448,933","7,431","7,431"
"대전광역시 동구 (3011000000)","220,920","934","934"
"대전광역시 동구 중앙동(3011051500)","4,386","10","10"
"대전광역시 동구 효동(3011053000)","24,463","87","87"
"대전광역시 동구 신인동(3011054500)","13,465","95","95"
"대전광역시 동구 판암1동(3011055100)","12,268","100","100"
"대전광역시 동구 판암2동(3011055200)","8,363","14","14"
"대전광역시 동구 용운동(3011056000)","21,855","142","142"
"대전광역시 동구 대동(3011058500)","14,551","93","93"
"대전광역시 동구 자양동(3011059000)","10,787","25","25"
"대전광역시 동구 가양1동(3011062000)","13,300","38","38"
"대전광역시 동구 가양2동(3011063000)","18,162","54","54"
"대전광역시 동구 용전동(3011064000)","20,424","85","85"
"대전광역시 동구 성남동(3011066500)","11,495","47","47"
"대전광역시 동구 홍도동(3011067000)","10,896","30","30"
"대전광역시 동구 삼성동(3011069500)","13,835","37","37"
"대전광역시 동구 대청동(3011072500)","2,387","3","3"
"대전광역시 동구 산내동(3011074000)","20,283","74","74"
"대전광역시 중구 (3014000000)","229,089","882","882"
"대전광역시 중구 은행선화동(3014053500)","15,514","68","68"
"대전광역시 중구 목동(3014055000)","14,197","62","62"
"대전광역시 중구 중촌동(3014056000)","13,959","79","79"
"대전광역시 중구 대흥동(3014057500)","13,587","50","50"
"대전광역시 중구 문창동(3014060500)","4,594","18","18"
"대전광역시 중구 석교동(3014062000)","15,458","49","49"
"대전광역시 중구 대사동(3014063000)","5,463","12","12"
"대전광역시 중구 부사동(3014064000)","6,703","21","21"
"대전광역시 중구 용두동(3014065500)","9,343","43","43"
"대전광역시 중구 오류동(3014067000)","10,578","65","65"
"대전광역시 중구 태평1동(3014068000)","13,150","62","62"
"대전광역시 중구 태평2동(3014069000)","25,241","88","88"
"대전광역시 중구 유천1동(3014070000)","6,337","33","33"
"대전광역시 중구 유천2동(3014071000)","13,605","42","42"
"대전광역시 중구 문화1동(3014072000)","21,876","85","85"
"대전광역시 중구 문화2동(3014073000)","12,427","22","22"
"대전광역시 중구 산성동(3014074000)","27,057","83","83"
"대전광역시 서구 (3017000000)","471,247","2,420","2,420"
"대전광역시 서구 복수동(3017051000)","22,177","130","130"
"대전광역시 서구 도마1동(3017052000)","15,064","73","73"
"대전광역시 서구 도마2동(3017053000)","17,304","64","64"
"대전광역시 서구 정림동(3017053500)","15,941","47","47"
"대전광역시 서구 변동(3017054000)","15,943","54","54"
"대전광역시 서구 용문동(3017055000)","12,256","49","49"
"대전광역시 서구 탄방동(3017055500)","26,897","126","126"
"대전광역시 서구 괴정동(3017056000)","19,135","94","94"
"대전광역시 서구 가장동(3017057000)","11,223","34","34"
"대전광역시 서구 내동(3017057500)","23,467","86","86"
"대전광역시 서구 갈마1동(3017058100)","21,620","70","70"
"대전광역시 서구 갈마2동(3017058200)","24,625","120","120"
"대전광역시 서구 월평1동(3017058600)","11,340","41","41"
"대전광역시 서구 월평2동(3017058700)","14,390","52","52"
"대전광역시 서구 월평3동(3017058800)","20,932","108","108"
"대전광역시 서구 가수원동(3017059000)","46,552","418","418"
"대전광역시 서구 관저1동(3017059600)","15,382","91","91"
"대전광역시 서구 관저2동(3017059700)","49,362","385","385"
"대전광역시 서구 기성동(3017060000)","3,654","4","4"
"대전광역시 서구 둔산1동(3017063000)","16,580","29","29"
"대전광역시 서구 둔산2동(3017064000)","35,228","225","225"
"대전광역시 서구 만년동(3017065000)","12,652","76","76"
"대전광역시 서구 둔산3동(3017066000)","19,523","44","44"
"대전광역시 유성구 (3020000000)","352,826","2,438","2,438"
"대전광역시 유성구 진잠동(3020052000)","25,220","113","113"
"대전광역시 유성구 학하동(3020052600)","17,172","155","155"
"대전광역시 유성구 상대동(3020052700)","24,819","180","180"
"대전광역시 유성구 온천1동(3020053000)","26,649","110","110"
"대전광역시 유성구 온천2동(3020054000)","39,708","224","224"
"대전광역시 유성구 노은1동(3020054600)","21,603","158","158"
"대전광역시 유성구 노은2동(3020054700)","24,107","152","152"
"대전광역시 유성구 노은3동(3020054800)","36,916","298","298"
"대전광역시 유성구 신성동(3020055000)","26,025","239","239"
"대전광역시 유성구 전민동(3020057000)","26,861","212","212"
"대전광역시 유성구 구즉동(3020058000)","28,008","177","177"
"대전광역시 유성구 관평동(3020060000)","28,469","152","152"
"대전광역시 유성구 원신흥동(3020061000)","27,269","268","268"
"대전광역시 대덕구 (3023000000)","174,851","757","757"
"대전광역시 대덕구 오정동(3023051000)","14,358","49","49"
"대전광역시 대덕구 대화동(3023052000)","6,807","10","10"
"대전광역시 대덕구 회덕동(3023052500)","12,075","38","38"
"대전광역시 대덕구 비래동(3023053300)","16,042","52","52"
"대전광역시 대덕구 송촌동(3023054300)","26,869","118","118"
"대전광역시 대덕구 중리동(3023054600)","19,416","61","61"
"대전광역시 대덕구 신탄진동(3023055000)","14,497","78","78"
"대전광역시 대덕구 석봉동(3023056000)","16,198","138","138"
"대전광역시 대덕구 덕암동(3023057000)","13,502","58","58"
"대전광역시 대덕구 목상동(3023058000)","6,423","27","27"
"대전광역시 대덕구 법1동(3023060000)","12,974","84","84"
"대전광역시 대덕구 법2동(3023061000)","15,690","44","44"
"울산광역시  (3100000000)","1,116,482","5,652","5,652"
"울산광역시 중구 (3111000000)","210,786","820","820"
"울산광역시 중구 학성동(3111051000)","11,181","51","51"
"울산광역시 중구 반구1동(3111052000)","16,576","95","95"
"울산광역시 중구 반구2동(3111053000)","8,576","16","16"
"울산광역시 중구 복산1동(3111054000)","4,128","9","9"
"울산광역시 중구 복산2동(3111055000)","11,072","67","67"
"울산광역시 중구 중앙동(3111058500)","12,494","30","30"
"울산광역시 중구 우정동(3111059000)","17,931","87","87"
"울산광역시 중구 태화동(3111060000)","32,732","155","155"
"울산광역시 중구 다운동(3111061000)","22,608","47","47"
"울산광역시 중구 병영1동(3111062000)","21,790","50","50"
"울산광역시 중구 병영2동(3111063000)","20,238","73","73"
"울산광역시 중구 약사동(3111064000)","10,743","79","79"
"울산광역시 중구 성안동(3111065000)","20,717","61","61"
"울산광역시 남구 (3114000000)","312,230","1,551","1,551"
"울산광역시 남구 신정1동(3114051000)","18,124","73","73"
"울산광역시 남구 신정2동(3114052000)","23,828","103","103"
"울산광역시 남구 신정3동(3114053000)","16,238","82","82"
"울산광역시 남구 신정4동(3114054000)","20,682","101","101"
"울산광역시 남구 신정5동(3114055000)","8,862","33","33"
"울산광역시 남구 달동(3114056000)","26,978","112","112"
"울산광역시 남구 삼산동(3114057000)","48,911","283","283"
"울산광역시 남구 삼호동(3114058500)","20,236","68","68"
"울산광역시 남구 무거동(3114059500)","31,760","136","136"
"울산광역시 남구 옥동(3114060000)","26,044","147","147"
"울산광역시 남구 대현동(3114062500)","30,465","179","179"
"울산광역시 남구 수암동(3114063500)","16,535","109","109"
"울산광역시 남구 선암동(3114064000)","14,175","76","76"
"울산광역시 남구 야음장생포동(3114067000)","9,392","49","49"
"울산광역시 동구 (3117000000)","152,971","659","659"
"울산광역시 동구 방어동(3117051000)","39,950","190","190"
"울산광역시 동구 일산동(3117052000)","5,625","15","15"
"울산광역시 동구 화정동(3117053000)","19,267","97","97"
"울산광역시 동구 대송동(3117054000)","11,433","47","47"
"울산광역시 동구 전하1동(3117055000)","15,058","75","75"
"울산광역시 동구 전하2동(3117056000)","20,347","76","76"
"울산광역시 동구 남목1동(3117058000)","8,623","23","23"
"울산광역시 동구 남목2동(3117059000)","20,778","107","107"
"울산광역시 동구 남목3동(3117060000)","11,890","29","29"
"울산광역시 북구 (3120000000)","218,738","1,502","1,502"
"울산광역시 북구 농소1동(3120051000)","36,573","233","233"
"울산광역시 북구 농소2동(3120052000)","42,117","367","367"
"울산광역시 북구 농소3동(3120053000)","37,808","127","127"
"울산광역시 북구 강동동(3120054000)","16,321","156","156"
"울산광역시 북구 효문동(3120056000)","29,278","210","210"
"울산광역시 북구 송정동(3120057000)","36,756","291","291"
"울산광역시 북구 양정동(3120058000)","9,676","73","73"
"울산광역시 북구 염포동(3120059000)","10,209","45","45"
"울산광역시 울주군 (3171000000)","221,757","1,120","1,120"
"울산광역시 울주군 온산읍(3171025000)","20,381","108","108"
"울산광역시 울주군 언양읍(3171025300)","28,299","149","149"
"울산광역시 울주군 온양읍(3171025600)","28,609","145","145"
"울산광역시 울주군 범서읍(3171025900)","69,357","344","344"
"울산광역시 울주군 청량읍(3171026200)","18,986","155","155"
"울산광역시 울주군 삼남읍(3171026500)","22,745","127","127"
"울산광역시 울주군 서생면(3171031000)","8,410","34","34"
"울산광역시 울주군 웅촌면(3171034000)","7,833","17","17"
"울산광역시 울주군 두동면(3171036000)","4,267","18","18"
"울산광역시 울주군 두서면(3171037000)","3,107","6","6"
"울산광역시 울주군 상북면(3171038000)","7,998","15","15"
"울산광역시 울주군 삼동면(3171040000)","1,765","2","2"
"세종특별자치시  (3600000000)","379,340","3,314","3,314"
"세종특별자치시  (3611000000)","379,340","3,314","3,314"
"세종특별자치시  조치원읍(3611025000)","43,007","199","199"
"세종특별자치시  연기면(3611031000)","2,733","9","9"
"세종특별자치시  연동면(3611032000)","3,092","5","5"
"세종특별자치시  부강면(3611033000)","6,044","19","19"
"세종특별자치시  금남면(3611034000)","8,772","23","23"
"세종특별자치시  장군면(3611035000)","7,011","10","10"
"세종특별자치시  연서면(3611036000)","7,306","21","21"
"세종특별자치시  전의면(3611037000)","5,532","11","11"
"세종특별자치시  전동면(3611038000)","3,338","4","4"
"세종특별자치시  소정면(3611039000)","2,222","4","4"
"세종특별자치시  한솔동(3611051000)","18,387","139","139"
"세종특별자치시  새롬동(3611051500)","39,239","345","345"
"세종특별자치시  도담동(3611052000)","34,235","283","283"
"세종특별자치시  해밀동(3611052500)","8,648","129","129"
"세종특별자치시  아름동(3611053000)","23,270","189","189"
"세종특별자치시  종촌동(3611054000)","28,846","280","280"
"세종특별자치시  고운동(3611055000)","34,461","334","334"
"세종특별자치시  소담동(3611055500)","21,485","279","279"
"세종특별자치시  반곡동(3611055600)","23,382","404","404"
"세종특별자치시  보람동(3611056000)","18,869","164","164"
"세종특별자치시  대평동(3611057000)","11,285","135","135"
"세종특별자치시  다정동(3611058000)","28,176","328","328"
"경기도  (4100000000)","13,581,496","74,086","74,086"
"북부출장소  (4110500000)","0","0","0"
"경기도 수원시 (4111000000)","1,185,041","6,285","6,285"
"경기도 수원시 장안구 (4111100000)","272,963","1,037","1,037"
"경기도 수원시 장안구 파장동(4111156000)","23,158","60","60"
